date,Equity,Rates,Credit,Carry,Inflation,Commodities,Private Equity,Rates Vol,Fx
1998-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-06,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-07,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-01-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-02-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-08,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-15,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-03-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1999-04-01,100.72360499061102,99.80346573338895,99.71485132150468,100.6983746663485,100.0,99.74924927382278,99.68878562130932,99.99953693154757,99.9629493995653
1999-04-02,100.56549145607686,100.41580648771873,99.68277612948941,100.6983746663485,100.0,99.74924927382278,99.71442986491584,100.00969155316683,99.9629493995653
1999-04-05,101.57067084530638,100.4428230393128,100.56375017458424,101.03964569902038,100.0,100.0333092961341,99.5394679408073,99.88006210551657,100.80152798940391
1999-04-06,102.26745555614565,101.15327118985624,101.24114368390076,100.07864711463723,100.0,99.8597285541682,99.11469012619861,99.7279173009061,99.79004659753673
1999-04-07,103.08180347052078,101.15992422958834,101.31366349777466,100.52807853388798,100.0,98.78369346601004,98.42963962831256,99.6512183104485,100.28281958331817
1999-04-08,104.468511533518,102.08715945470973,102.15769464629705,100.57901205025037,100.0,98.20160834381565,97.87554408027232,99.54899828372285,100.50512318592635
1999-04-09,104.5964554761441,102.0853734566991,102.31210323726339,100.76883640419663,100.0,99.43012139005351,98.3846870528636,99.28084054768763,100.0
1999-04-12,105.02501578372247,102.20984185962001,102.33689844695192,101.28173405198254,100.0,99.09299407296955,98.67780935180552,99.2295256395775,99.66654459608775
1999-04-13,105.05379601607717,101.70601017121191,102.12173523125449,101.35816816249528,100.0,99.94548447496064,99.09372940062762,99.1287512288335,99.90119839884082
1999-04-14,104.26229895517923,101.5694356938148,102.15013825070116,100.66363098934156,100.0,99.35264107078507,99.5681943121601,99.05058030930098,99.59244339521835
1999-04-15,103.32781772630491,101.37001162031993,102.11160372979907,101.78762005028076,100.0,100.2221999009194,100.12860084758586,98.98009181409668,100.29516978346308
1999-04-16,103.15730567568546,100.93572759812594,101.76038666294687,101.8150308527601,100.0,100.82621536715239,100.53157027792761,98.9779564882586,99.98764979985509
1999-04-19,101.97893563556191,101.26428475995775,102.17214223789216,102.28132508731385,100.0,101.55364074111203,100.46883226577127,98.88123652441422,100.59157458694062
1999-04-20,101.85030718737082,101.56746006821419,102.43962124178097,102.48299285854903,100.0,101.25189162054316,100.78687828528983,98.84228238754842,100.93738019099779
1999-04-21,103.12270927114278,101.54659090374261,102.41113854438203,102.877862933889,100.0,101.58508802690324,100.99183803510758,98.82266653635106,101.15968379360595
1999-04-22,104.53295218720642,100.9016698154746,101.70175566108958,103.20992826446023,100.0,101.63650020137109,100.3793535973292,98.86030891006584,100.97443079143248
1999-04-23,104.78439527379237,100.87559842970614,101.77482030937432,103.39297184519752,100.0,101.49012549941533,100.48490890372393,98.8303792905112,101.01148139186718
1999-04-26,105.21801336201459,100.94787414362193,101.94674558274187,103.32285267080584,100.0,101.04138100677642,100.49293938189513,98.83647344623833,101.19673439404065
1999-04-27,106.0366091555613,101.25145244519592,102.02922717836321,103.57149485188329,100.0,101.36309501602193,100.02741824737069,98.90964522407114,100.69037618809982
1999-04-28,105.32541374901896,100.88630191287623,101.99246540294905,103.73764659318155,100.0,102.33920221577777,100.3450057526709,98.75315503926265,100.912679790708
1999-04-29,104.54973034055953,101.42367073417276,102.59570078902067,104.62123132926435,100.0,102.89283995773341,100.77450550474904,98.61052889024192,101.11028299302636
1999-04-30,104.15680521646605,100.30727676984728,101.34522827697572,105.18845471356786,100.0,103.07717898168052,100.93968883202582,98.705053909105,101.19673439404065
1999-05-03,105.08080928238071,100.28097846891865,101.35604560203956,106.02134096183094,100.0,103.35689431319175,100.45436099047481,98.7134770780244,101.32023639548963
1999-05-04,104.08978463629667,99.77958118155769,101.12330260474755,105.38843128220246,100.0,103.40427213191664,100.97481358102327,98.61695966412016,100.72742678853452
1999-05-05,104.47334768668757,99.90120777335616,101.26814290176753,105.09706176169793,100.0,103.45806354182264,100.88811228956635,98.6373976133923,99.77769639739182
1999-05-06,104.44612844590442,99.16627554124867,100.36097909975581,105.33694442538437,100.0,102.76249923373041,100.78342392140036,98.74090519302672,99.2342875910163
1999-05-07,104.50081861940092,98.93422047624748,99.91477771177529,105.75533303384805,100.0,102.10169245203896,100.86644526797777,98.99549291706687,99.9135485989857
1999-05-10,104.43074165304695,99.04758150327277,100.13591133909802,104.9758208114632,100.0,102.36413246536884,101.34904381775726,99.00581102296658,99.49364179405917
1999-05-11,104.70971059772144,98.7493964838817,99.5746820323613,105.74342724115533,100.0,101.91931888345381,101.53476066989677,99.14160248209551,100.27046938317326
1999-05-12,104.73084231403129,98.97484434453747,99.67570244327908,105.58197598616673,100.0,101.0349674155953,101.69932391795447,99.17566781112606,100.85092878998348
1999-05-13,104.90592492930006,99.81958973433854,100.41669338281599,105.9699276843537,100.0,101.7428416809545,101.71355185920817,99.21570961974263,100.8262283896937
1999-05-14,102.83644888785409,98.22408159173796,98.78143645794682,105.97294009732126,100.0,101.45040261210013,102.13647755882187,99.44318075844515,101.07323239259166
1999-05-17,101.79810181835504,97.97386701235808,98.63887558707279,106.39600818529556,100.0,101.20399657672301,102.53939395011761,99.46136772420603,100.99913119172227
1999-05-18,101.93609542180364,97.8135049978415,98.49228721947043,106.43128526869438,100.0,100.06134289629667,102.5470809559543,99.47040825093771,100.86327899012839
1999-05-19,102.46178803002019,98.09411880322094,98.99485617623355,105.91259844658303,100.0,99.49187806642638,102.56129061764938,99.4404772505697,101.32023639548963
1999-05-20,102.51812653800215,98.15351608650687,98.58360191450748,105.86980443457672,100.0,99.364951028052,102.57648334471729,99.69666231251215,101.67839219969167
1999-05-21,101.89358061537696,98.50467992481023,99.02537788680075,105.87605370835378,100.0,99.37333007459506,103.01788032470081,99.64968947604603,102.06124840418353
1999-05-24,100.70256776953643,98.65468561722574,99.1440396974715,105.74627482192575,100.0,98.10519758606105,102.96987297660375,99.62217032499402,101.82659460143046
1999-05-25,99.24964458318915,98.63334379430117,99.05656002070498,104.3937274042911,100.0,98.30050178202745,103.24898456836151,99.71859866275383,101.75249340056106
1999-05-26,99.8648926040858,98.27020761454673,98.6890733250504,103.9373449319084,100.0,98.43063561599236,102.9733739142965,99.74131265854305,102.72815921200805
