gene,cluster,module
CDC24,7,filamentation (Kss1)
PKC1,2,cell wall (Slt2)
FUS3,9,pheromone (Fus3)
TEC1,9,filamentation (Kss1)
SMP1,6,osmolarity (Hog1)
BEM1,2,filamentation (Kss1)
KAR4,9,pheromone (Fus3)
STE50,3,filamentation (Kss1)
FUS1,9,pheromone (Fus3)
SSK22,1,osmolarity (Hog1)
YPD1,1,osmolarity (Hog1)
STE7,1,pheromone (Fus3)
GPD1,5,osmolarity (Hog1)
STE5,3,pheromone (Fus3)
NBP2,1,osmolarity (Hog1)
MFA1,8,pheromone (Fus3)
DIG2,1,filamentation (Kss1)
SWI4,4,cell wall (Slt2)
SHO1,4,filamentation (Kss1)
STE2,8,pheromone (Fus3)
MSB2,6,filamentation (Kss1)
MTL1,7,cell wall (Slt2)
GSC2,6,cell wall (Slt2)
KSS1,6,filamentation (Kss1)
ROM1,5,cell wall (Slt2)
CTT1,5,osmolarity (Hog1)
STE20,4,filamentation (Kss1)
GPA1,9,pheromone (Fus3)
SLT2,7,cell wall (Slt2)
STE12,9,pheromone (Fus3)
SLN1,2,osmolarity (Hog1)
BAR1,8,pheromone (Fus3)
FAR1,9,pheromone (Fus3)
PBS2,7,osmolarity (Hog1)
BCK1,4,cell wall (Slt2)
STE18,7,pheromone (Fus3)
STE3,4,pheromone (Fus3)
MSN4,5,osmolarity (Hog1)
SSK1,7,osmolarity (Hog1)
HOG1,4,osmolarity (Hog1)
SWI6,3,cell wall (Slt2)
CDC42,4,filamentation (Kss1)
RCK2,5,osmolarity (Hog1)
MID2,2,cell wall (Slt2)
FKS1,5,cell wall (Slt2)
STE11,7,pheromone (Fus3)
ROM2,7,cell wall (Slt2)
SST2,9,pheromone (Fus3)
GLO1,5,osmolarity (Hog1)
MSN2,2,osmolarity (Hog1)
HOT1,2,osmolarity (Hog1)
WSC2,6,cell wall (Slt2)
SKO1,2,osmolarity (Hog1)
MFA2,8,pheromone (Fus3)
SSK2,7,osmolarity (Hog1)
AGA1,9,pheromone (Fus3)
WSC3,6,cell wall (Slt2)
STE4,9,pheromone (Fus3)
MKK1,2,cell wall (Slt2)
MKK2,3,cell wall (Slt2)
RLM1,7,cell wall (Slt2)
DIG1,7,filamentation (Kss1)
SMK1,7,sporulation (Smk1)
RHO1,7,cell wall (Slt2)
